Ingredient	red	orange	yellow	green_light	green_dark	purple	has_cat	egg_substitute	mayo_vegan	milk_substitute	cheese_substitute	sour_cream_substitute	yogurt_substitute	chicken_substitute	meat_substitute	sausage_substitute	mushrooms	yeast	grain_flour	wheat_flour	cornmeal	grains	wheat	oats	corn	rice	gluten	pasta	noodles	rice_noodles	artichoke	mustard	avocado	sesame_paste	seeds	nuts	almonds	coconut	peanuts	banana_blossom	olives	capers	sesame_oil	olive oil	margarine	oil	pesto	pepper_spice	curry	smoke	spices_misc	spices_warm	vanilla	coffee	chocolate	tea	legume_tuber_flour	bean_thread_noodles	okra	green_beans	pea_pods	tofu	miso	soybeans	beans	lentils	chickpeas	peas	mung_beans	tapioca	water_chestnuts	tubers	horseradish	ginger	fennel	carrots	beets	palm_hearts	bamboo	sweet_potatoes_yams	potatoes	garlic	leeks_green_onions	onions_shallots	sprouts	rhubarb	greens	spinach	chicory	lettuce	kale	broccoli	cauliflower	cabbage	asparagus	seaweed	clover_blossoms	vegetable_stock	herbs	celery	tomatoes	eggplants	bell_peppers	chili_pepper	cajun_spice	squashes_gourds	plantains_bananas	melons	cucumbers	dates	figs	raisins	cranberries	strawberries	berries_pomegranate	grapes	tropical_fruits	mangoes	pineapple	persimmons	peaches	plums_apricots	cherries	pears	apples	citrus	vinegar	soy_sauce	worcestershire_sauce	fruit_vinegar	cider	wine_vinegar	wine	beer	alcohol_liqueur	pectin_agar-agar	sugar	raw_sugar	maple_syrup	syrups	molasses	sugar
15 bean soup mix							TRUE																																																										y																																																																													
aburage							TRUE																																																							y																																																																																
achiote powder							TRUE																																												y																																																																																											
acorn squash		y					TRUE																																																																																																			y																																				
active dry yeast							TRUE											y																																																																																																																												
adobo sauce							FALSE																																																																																																																																							
adzuki beans							TRUE																																																										y																																																																													
agar							FALSE																																																																																																																																	y						
agar-agar							FALSE																																																																																																																																	y						
agar-agar flakes							FALSE																																																																																																																																	y						
agave nectar							FALSE																																																																																																																																					y		
agave syrup							FALSE																																																																																																																																					y		
ajwain							TRUE																												y																																																																																																											
ajwain seed							TRUE																												y																																																																																																											
ale							TRUE																																																																																																																															y								
aleppo pepper							TRUE																																									y																																																																																														
alfalfa sprouts							TRUE																																																																														y																																																									
all-purpose flour							TRUE													y																																																																																																																										
all-purpose white flour							TRUE													y																																																																																																																										
all-purpose white flour							TRUE																																													y																																																																																										
allspice berries							TRUE																																													y																																																																																										
almond butter							TRUE																														y																																																																																																									
almond extract							FALSE																																																																																																																																							
almond flour							TRUE																														y																																																																																																									
almond meal							TRUE																														y																																																																																																									
almond milk							TRUE			y																																																																																																																																				
almond oil							TRUE																																							y																																																																																																
almonds							TRUE																														y																																																																																																									
alum							FALSE																																																																																																																																							
amaranth							TRUE															y																																																																																																																								
amaretto							TRUE																																																																																																																																y							
amchur							TRUE																																																																																																															y																								
anaheim chili					y		TRUE																																																																																																	y																																						
anaheim chilies					y		TRUE																																																																																																	y																																						
ancho chilies							TRUE																																																																																																	y																																						
