name	id	n_ingredients	serving_size_g	n_servings	calories	calories_per_g	total_fat_pdv	total_fat_g	total_fat_pct	sugar_pdv	sugar_g	sugar_pct	sodium_pdv	sodium_g	sodium_pct	protein_pdv	protein_g	protein_pct	saturated_fat_pdv	saturated_fat_g	saturated_fat_pct	carbohydrates_pdv	carbohydrates_g	carbohydrates_pct	ingredients	num_reviews	mean_rating	contributor_id	course	is_main_dish	is_side_dish	is_salad	is_soup	is_appetizer	is_sauce_or_garnish	has_egg_subs	has_dairy_subs	has_margarine	has_meat_subs	has_yeast	has_mushroom	has_grain	has_corn	has_rice	has_noodle	has_pungent	has_nut	has_seed	has_avocado	has_oil	has_olive	has_paste	has_peppercorn	has_curry	has_misc_spice	has_warm_spice	has_legume	has_pod	has_tofu	has_tuber	has_sweet_tuber	has_potato	has_bulb	has_sprout	has_herb	has_green	has_cabbage	has_lettuce	has_tomato	has_eggplant	has_sweet_pepper	has_hot_pepper	has_squash	has_cucumber	has_pome_fruit	has_stone_fruit	has_tropical_fruit	has_berry	has_sweet_fruit	has_citrus	has_vinegar	has_alcohol	has_complex_sugar	is_red	is_orange	is_yellow	is_green_light	is_green_dark	is_purple
fool the meat eaters chili	54272	12	352	4	295.6	0.839773	3	1.95	0.0055398	56	28	0.079545	76	1.824	0.00518182	32	16	0.0454545	1	0.2	0.00056818	18	54	0.153409	['vegetarian ground beef', 'garlic', 'onion', 'jalapenos', 'green pepper', 'celery', 'kidney beans', 'diced tomatoes', 'chili powder', 'black pepper', 'salt', 'red pepper flakes']	4	4.5	40525	main	y						0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
mock a mole low fat guacamole	81185	7	137	6	115.9	0.845985	7	4.55	0.0332117	21	10.5	0.076642	19	0.456	0.00332847	9	4.5	0.0328467	3	0.6	0.00437956	5	15	0.109489	['frozen peas', 'hass avocado', 'salt', 'juice of lemon', 'tomatoes', 'onion', 'cilantro']	4	4.75	67026	appetizer					y		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0
sour cream avocado dip vegan	112959	7	15	48	12.8	0.853333	1	0.65	0.0433333	0	0	0	0	0.000	0.00000000	0	0	0.0000000	0	0	0.00000000	0	0	0.000000	['soft silken tofu', 'avocado', 'chunky salsa', 'fresh cilantro', 'lime juice', 'hot sauce', 'salt and pepper']	4	3.75	167849	appetizer					y		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
cream of mushroom soup	50184	9	544	4	473.2	0.869853	59	38.35	0.0704963	23	11.5	0.02114	7	0.168	0.00030882	28	14	0.0257353	36	7.2	0.01323529	8	24	0.044118	['mushrooms', 'margarine', 'garlic cloves', 'dry-roasted cashews', 'water', 'vegetable bouillon cubes', 'parsley', 'chili powder', 'nutmeg']	5	4	20477	soup				y			0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
slightly spicy black bean burgers	111462	11	223	4	337.3	1.512556	8	5.2	0.0233184	12	6	0.026906	7	0.168	0.00075336	27	13.5	0.0605381	4	0.8	0.00358744	20	60	0.269058	['black beans', 'oil', 'frozen corn', 'garlic', 'onion', 'cumin', 'green chili sauce', 'salsa', 'chili powder', 'flour', 'dry breadcrumbs']	14	4.79	37584	main	y						0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
thicker than pea soup pea soup	274988	8	270	12	193.8	0.717778	0	0	0.0000000	22	11	0.040741	33	0.792	0.00293333	22	11	0.0407407	0	0	0.00000000	12	36	0.133333	['split peas', 'water', 'carrots', 'onions', 'potatoes', 'turnips', 'salt', 'pepper']	6	4.83	543183	soup				y			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
no fuss easy baked artichokes	450466	6	97	1	317.8	3.276289	42	27.3	0.2814433	8	4	0.041237	58	1.392	0.01435052	9	4.5	0.0463918	19	3.8	0.03917526	6	18	0.185567	['artichoke', 'garlic cloves', 'lemon', 'olive oil', 'sea salt', 'broth']	5	4	318262	appetizer		y			y		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
chicken tikka masala vegan style	418756	19	97	4	305.4	3.148454	19	12.35	0.1273196	165	82.5	0.850515	50	1.200	0.01237113	5	2.5	0.0257732	57	11.4	0.11752577	15	45	0.463918	['vegan chicken', 'soy yogurt', 'fresh lemon juice', 'ground cumin', 'ground red pepper', 'fresh ground black pepper', 'cinnamon', 'salt', 'fresh ginger', 'bamboo skewers', 'earth balance margarine', 'garlic cloves', 'ground coriander', 'paprika', 'garam masala', 'tomato sauce', 'coconut milk', 'frozen peas', 'fresh cilantro']	7	4.86	1588851	main	y						0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
mazing mushrooms	84610	6	87	4	168.9	1.941379	26	16.9	0.1942529	5	2.5	0.028736	0	0.000	0.00000000	3	1.5	0.0172414	11	2.2	0.02528736	1	3	0.034483	['mushrooms', 'garlic', 'fresh curly-leaf parsley', 'juice of lemon', 'extra virgin olive oil', 'salt and pepper']	8	4.25	117438	salad		y	y				0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
raw angel hair zucchini pasta with fresh pesto	187601	9	244	4	374.7	1.535656	57	37.05	0.1518443	22	11	0.045082	31	0.744	0.00304918	10	5	0.0204918	21	4.2	0.01721311	3	9	0.036885	['zucchini', 'green tomato', 'extra virgin olive oil', 'sea salt', 'fresh ground black pepper', 'pine nuts', 'basil leaves', 'fresh basil leaves', 'garlic']	8	4.13	247958	main	y						0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
10 minute tvp tacos	289559	8	75	10	38.1	0.508000	4	2.6	0.0346667	5	2.5	0.033333	21	0.504	0.00672000	1	0.5	0.0066667	1	0.2	0.00266667	1	3	0.040000	['textured vegetable protein', 'water', 'soy sauce', 'olive oil', 'taco seasoning', 'red pepper', 'salsa', 'flour tortillas']	13	4.31	207907	main	y						0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
21 vegetarian sloppy joes	187040	12	290	4	532.6	1.836552	48	31.2	0.1075862	18	9	0.031034	100	2.400	0.00827586	75	37.5	0.1293103	30	6	0.02068966	7	21	0.072414	['canola oil', 'garlic cloves', 'bell pepper', 'soy crumbles', 'chili powder', 'jalapeno pepper', 'ale', 'bottled chili sauce', 'soy sauce', 'green onion', 'hamburger bun', 'avocado']	3	4.33	334736	main	y						0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
2bleu s vegetable barley soup	390750	14	186	8	128.5	0.690860	0	0	0.0000000	21	10.5	0.056452	7	0.168	0.00090323	9	4.5	0.0241935	0	0	0.00000000	9	27	0.145161	['vegetable broth', 'garlic cloves', 'tomato sauce', 'diced tomatoes', 'pearl barley', 'dried parsley', 'basil', 'crushed red pepper flakes', 'bay leaf', 'carrots', 'celery', 'onion', 'fresh mushrooms', 'salt and black pepper']	5	4.8	452940	soup				y			0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
3 bean salad like kfc	101194	10	201	8	288.8	1.436816	21	13.65	0.0679104	81	40.5	0.201493	26	0.624	0.00310448	11	5.5	0.0273632	9	1.8	0.00895522	12	36	0.179104	['vegetable oil', 'cider vinegar', 'sugar', 'salt', 'pepper', 'cut green beans', 'cut wax beans', 'dark red kidney beans', 'green pepper', 'white onion']	7	4.71	165569	salad			y				0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
30 minute baked potato	155496	2	213	1	164	0.769953	0	0	0.0000000	6	3	0.014085	0	0.000	0.00000000	8	4	0.0187793	0	0	0.00000000	12	36	0.169014	['potato', 'olive oil']	12	5	252156	side		y					0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30 minute seasoned sweet potato yam fries baked not fried	406737	6	73	4	118.1	1.617808	10	6.5	0.0890411	11	5.5	0.075342	6	0.144	0.00197260	2	1	0.0136986	4	0.8	0.01095890	4	12	0.164384	['sweet potatoes', 'olive oil', 'paprika', 'cinnamon', 'kosher salt', 'white pepper']	10	4.4	1375473	side		y					0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
