name	course	minutes	n_steps	ingredients	n_ingredients	calories	total_fat	sugar	sodium	protein	saturated_fat	carbohydrates	num_reviews	mean_rating	has_egg_subs	has_dairy_subs	has_margarine	has_meat_subs	has_yeast	has_mushroom	has_grain	has_corn	has_rice	has_gluten	has_noodle	has_pungent	has_nut	has_coconut	has_chocolate	has_coffee	has_seed	has_avocado	has_oil	has_olive	has_smoke	has_paste	has_peppercorn	has_curry	has_misc_spice	has_warm_spice	has_legume	has_pod	has_tofu	has_tuber	has_sweet_tuber	has_tapioca	has_potato	has_bulb	has_sprout	has_artichoke	has_herb	has_green	has_cabbage	has_lettuce	has_seaweed	has_tomato	has_eggplant	has_sweet_pepper	has_hot_pepper	has_squash	has_melon	has_cucumber	has_plantain	has_pome_fruit	has_stone_fruit	has_tropical_fruit	has_berry	has_sweet_fruit	has_citrus	has_vinegar	has_alcohol	has_complex_sugar	is_red	is_orange	is_yellow	is_green_light	is_green_dark	is_purple
fool the meat eaters chili	1	40	9	['vegetarian ground beef', 'garlic', 'onion', 'jalapenos', 'green pepper', 'celery', 'kidney beans', 'diced tomatoes', 'chili powder', 'black pepper', 'salt', 'red pepper flakes']	12	295.6	3	56	76	32	1	18	4	4.5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
mock a mole low fat guacamole	3	15	7	['frozen peas', 'hass avocado', 'salt', 'juice of lemon', 'tomatoes', 'onion', 'cilantro']	7	115.9	7	21	19	9	3	5	4	4.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0
sour cream avocado dip vegan	3	10	6	['soft silken tofu', 'avocado', 'chunky salsa', 'fresh cilantro', 'lime juice', 'hot sauce', 'salt and pepper']	7	12.8	1	0	0	0	0	0	4	3.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
berry french toast oatmeal	8	12	5	['old fashioned oats', 'water', 'berries', 'ground flax seeds', 'sugar-free syrup', "i can't believe it's not butter spread"]	6	190.9	8	2	0	13	3	9	4	4.75	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
cream of mushroom soup	4	40	8	['mushrooms', 'margarine', 'garlic cloves', 'dry-roasted cashews', 'water', 'vegetable bouillon cubes', 'parsley', 'chili powder', 'nutmeg']	9	473.2	59	23	7	28	36	8	5	4	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
slightly spicy black bean burgers	9	20	12	['black beans', 'oil', 'frozen corn', 'garlic', 'onion', 'cumin', 'green chili sauce', 'salsa', 'chili powder', 'flour', 'dry breadcrumbs']	11	337.3	8	12	7	27	4	20	14	4.79	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
thicker than pea soup pea soup	4	140	3	['split peas', 'water', 'carrots', 'onions', 'potatoes', 'turnips', 'salt', 'pepper']	8	193.8	0	22	33	22	0	12	6	4.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
no fuss easy baked artichokes	3	65	7	['artichoke', 'garlic cloves', 'lemon', 'olive oil', 'sea salt', 'broth']	6	317.8	42	8	58	9	19	6	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
chicken tikka masala vegan style	1	75	14	['vegan chicken', 'soy yogurt', 'fresh lemon juice', 'ground cumin', 'ground red pepper', 'fresh ground black pepper', 'cinnamon', 'salt', 'fresh ginger', 'bamboo skewers', 'earth balance margarine', 'garlic cloves', 'ground coriander', 'paprika', 'garam masala', 'tomato sauce', 'coconut milk', 'frozen peas', 'fresh cilantro']	19	305.4	19	165	50	5	57	15	7	4.86	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
mazing mushrooms	5	250	6	['mushrooms', 'garlic', 'fresh curly-leaf parsley', 'juice of lemon', 'extra virgin olive oil', 'salt and pepper']	6	168.9	26	5	0	3	11	1	8	4.25	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
